"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","returns 4xx for malformed id '%20'","","Thu May 14 14:53:14 UTC 2026","passed","Thu May 14 14:53:14 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id '%20'"
"","264","never returns a 5xx for malformed id '1.5'","","Thu May 14 14:53:16 UTC 2026","passed","Thu May 14 14:53:16 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","never returns a 5xx for malformed id '1.5'"
"","270","never returns a 5xx for malformed id 'null'","","Thu May 14 14:53:16 UTC 2026","passed","Thu May 14 14:53:16 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","never returns a 5xx for malformed id 'null'"
"","265","rejects with 4xx when body is malformed JSON (unquoted keys)","","Thu May 14 14:53:09 UTC 2026","passed","Thu May 14 14:53:09 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","rejects with 4xx when body is malformed JSON (unquoted keys)"
"","263","does not return 5xx when title is missing from update payload","","Thu May 14 14:53:07 UTC 2026","passed","Thu May 14 14:53:07 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","does not return 5xx when title is missing from update payload"
"","279","deletes an existing book and returns 200","","Thu May 14 14:53:10 UTC 2026","passed","Thu May 14 14:53:10 UTC 2026","","DeleteBookHappyPathSpec","com.example.apitests.books.happyPath.DeleteBookHappyPathSpec","deletes an existing book and returns 200"
"","281","never returns a 5xx for malformed id ' '","","Thu May 14 14:53:16 UTC 2026","passed","Thu May 14 14:53:16 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","never returns a 5xx for malformed id ' '"
"","277","returned book contains every documented field","","Thu May 14 14:53:09 UTC 2026","passed","Thu May 14 14:53:09 UTC 2026","","GetBookByIdHappyPathSpec","com.example.apitests.books.happyPath.GetBookByIdHappyPathSpec","returned book contains every documented field"
"","460","responds within an acceptable time budget","","Thu May 14 14:53:06 UTC 2026","passed","Thu May 14 14:53:06 UTC 2026","","GetAllBooksHappyPathSpec","com.example.apitests.books.happyPath.GetAllBooksHappyPathSpec","responds within an acceptable time budget"
"","279","handles update with a negative pageCount without a 5xx","","Thu May 14 14:53:07 UTC 2026","passed","Thu May 14 14:53:07 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","handles update with a negative pageCount without a 5xx"
